id;deleted;inserted;substituted
COSER-2004-01;1663;441;1367
COSER-3111-01;4053;812;3486
COSER-2506-02;1486;367;1055
COSER-0726-01;624;187;1111
COSER-5214-01;1709;515;1380
COSER-0109-02;792;308;739
COSER-2637-02;781;299;781
COSER-4108-01;1726;321;1007
COSER-2106-01;1160;165;1172
COSER-2606-01;1030;629;921
COSER-0418-01;760;245;998
COSER-1023-01;880;259;979
COSER-3228-01;479;92;482
COSER-1517-01;963;1010;2502
COSER-5003-01;3800;775;3231
COSER-1020-01;2734;810;2871
COSER-0804-01;718;338;546
COSER-2914-01;1843;259;1314
COSER-2206-01;2540;514;1873
COSER-1636-02;1091;1001;2035
COSER-4617-01;1415;163;669
COSER-0107-01;1828;348;1200
COSER-3426-01;1023;234;795
COSER-0803-01;1657;447;1134
COSER-5735-01;1406;652;1322
COSER-3106-01;2864;394;2911
COSER-1834-03;2166;909;2505
COSER-2404-01;940;370;1415
COSER-4506-01;890;188;732
COSER-2303-01;963;615;2179
COSER-4508-01;1969;290;945
COSER-1823-01;2699;468;2940
COSER-3009-02;2540;955;4723
COSER-1205-01;1609;1041;1900
COSER-3307-02;2295;739;1640
COSER-1921-02;2317;932;2528
COSER-3004-01;5003;486;4272
COSER-4102-02;1660;1225;1394
COSER-1404-03;970;272;910
COSER-1424-01;1174;271;1560
COSER-3107-01;2142;214;1700
COSER-1838-01;1233;357;1341
COSER-5404-01;1694;986;2232
COSER-3308-01;258;4995;108
COSER-2001-01;582;98;323
COSER-2409-01;425;225;474
COSER-1706-01;1297;390;946
COSER-2314-01;904;427;1673
COSER-2222-01;1697;380;1325
COSER-0728-01;2131;507;2846
COSER-4504-02;732;153;426
COSER-3109-01;1495;222;1721
COSER-0610-01;1708;496;1810
COSER-0922-01;1540;648;1749
COSER-2301-01;698;395;1332
COSER-1907-01;453;176;437
COSER-4719-02;1475;573;1573
COSER-0303-01;2791;696;1562
COSER-2001-02;1913;343;1058
COSER-3301-01;414;5673;1100
COSER-1107-02;888;542;1767
COSER-1401-01;869;310;909
COSER-2801-01;1102;1765;775
COSER-2207-01;2087;1308;3047
COSER-0310-01;2071;437;2161
COSER-0607-01;794;335;795
COSER-3402-01;1256;224;873
COSER-3923-01;972;351;1308
COSER-4419-01;821;178;630
COSER-4724-01;1486;431;1270
COSER-3614-01;2100;1532;2234
COSER-3712-01;1218;153;726
COSER-4310-01;3414;395;1724
COSER-3611-02;805;114;559
COSER-1503-01;1298;388;1564
COSER-0106-01;1368;699;1446
COSER-2701-01;467;152;375
COSER-2644-01;1908;685;1798
COSER-2907-01;3131;512;2008
COSER-1232-01;750;272;1034
COSER-0523-01;1606;1141;2048
COSER-4306-01;1268;341;977
COSER-3421-01;1129;568;999
COSER-1901-01;1282;409;1111
COSER-2715-01;2747;385;1199
COSER-2408-01;1978;4548;2313
COSER-1012-04;1638;262;1038
COSER-4318-02;3483;673;1779
COSER-0306-02;429;205;243
COSER-2809-02;1130;291;615
COSER-0934-01;2832;1482;1881
COSER-1212-01;422;629;721
COSER-4301-01;736;421;933
COSER-4218-01;1460;694;1786
COSER-3423-01;1876;354;1198
COSER-0304-01;814;99;420
COSER-1116-01;1747;418;1443
COSER-4128-01;321;142;289
COSER-3302-01;3339;255;938
COSER-2515-01;1138;233;685
COSER-2712-01;1085;570;903
COSER-4611-01;1443;707;1209
COSER-0103-01;943;364;1043
COSER-0924-01;1583;400;1405
COSER-2812-01;9;14672;119
COSER-4117-01;642;348;1099
COSER-2005-01;686;426;632
COSER-4225-01;3097;413;2313
COSER-1319-01;739;595;842
COSER-4004-01;1160;594;1080
COSER-4714-01;899;364;1111
COSER-2501-01;3907;811;2799
COSER-4407-01;878;161;440
COSER-0723-01;1184;902;2516
COSER-4613-01;1343;431;1308
COSER-4706-01;1359;152;702
COSER-2910-01;5082;182;1043
COSER-4214-01;2567;434;2129
COSER-0802-01;1644;140;410
COSER-0404-01;1873;353;1488
COSER-1832-01;1733;354;1465
COSER-5303-01;1745;553;1947
COSER-1705-01;1583;468;1562
COSER-2122-01;2378;368;2607
COSER-2321-01;867;262;1106
COSER-3806-01;1421;1071;3211
COSER-1310-01;1023;525;991
COSER-0716-01;882;244;1105
COSER-3203-01;633;135;570
COSER-4227-02;1581;380;1348
COSER-4230-01;1478;326;1361
COSER-0702-02;2132;636;2181
COSER-1603-02;457;184;849
COSER-4915-01;1718;337;789
COSER-0403-01;4750;886;4636
COSER-1414-03;1513;394;1845
COSER-2614-01;2156;426;1471
COSER-0506-01;707;296;820
COSER-3214-01;1030;172;581
COSER-1228-01;836;286;744
COSER-2107-01;904;291;1785
COSER-0543-01;2017;178;1024
COSER-1514-01;1719;479;1902
COSER-1607-02;1684;966;1814
COSER-3104-01;14771;8;169
COSER-1307-01;2119;1288;1292
COSER-1014-02;672;420;1144
COSER-0939-01;1594;211;1052
COSER-1505-01;2236;463;2668
COSER-4401-01;592;162;232
COSER-0609-01;988;360;711
COSER-0604-02;665;165;767
COSER-2405-01;712;1105;948
COSER-3412-01;460;260;734
COSER-1902-02;1769;711;1061
COSER-1634-01;898;658;1398
COSER-3706-01;1029;170;475
COSER-1308-01;1468;231;1015
COSER-4417-01;922;303;748
COSER-4622-01;577;408;1257
COSER-0222-01;2000;684;2781
COSER-0509-01;598;588;1491
COSER-2915-01;1329;276;1313
COSER-1121-01;1196;479;2325
COSER-3901-01;2848;1381;3142
COSER-4421-01;1074;102;528
COSER-2627-01;679;304;768
COSER-4904-01;774;355;547
COSER-3503-01;1744;973;1624
COSER-4501-01;1703;260;1210
COSER-0959-01;3316;1321;3859
COSER-1708-02;408;1943;345
COSER-2512-01;984;372;773
COSER-3701-01;1531;90;463
COSER-2650-01;609;309;635
COSER-3809-01;3447;692;3560
COSER-3924-02;1197;370;1040
COSER-3707-01;1329;142;624
COSER-4308-01;2146;714;2465
COSER-3610-01;1418;352;1153
COSER-2120-01;2208;519;2673
COSER-4011-01;2477;536;1501
COSER-0805-01;595;130;234
COSER-4206-02;820;151;901
COSER-2711-01;1704;497;1605
COSER-1015-01;2806;975;3966
COSER-4720-01;1521;325;687
COSER-3222-01;1194;325;952
COSER-3801-01;1542;538;2159
COSER-1102-01;746;266;1288
COSER-5104-01;1223;252;1088
COSER-4403-01;1158;198;761
COSER-1603-01;485;198;651
COSER-0528-01;600;469;972
COSER-5605-03;8852;494;1275
COSER-2229-01;2647;451;3063
COSER-4503-01;766;245;487
COSER-3209-02;662;126;537
COSER-0211-01;1425;1045;2029
COSER-4010-01;1412;846;1530
COSER-5322-01;766;220;1169
COSER-1709-01;549;8485;151
COSER-3001-01;2177;590;2575
COSER-5506-01;1348;524;2447
COSER-2012-01;1787;356;1016
COSER-3624-01;968;709;1751
COSER-4128-02;497;57;286
COSER-3916-01;1945;622;2129
COSER-0604-01;810;128;560
COSER-2805-01;1223;276;605
COSER-3002-02;1248;536;1796
COSER-4317-01;1639;473;1278
COSER-4602-01;1897;842;2621
COSER-4012-01;2155;1132;2519
COSER-3203-02;1065;309;1331
COSER-0204-01;2688;1495;3727
COSER-1417-01;1642;471;2222
COSER-5714-01;1507;712;1657
COSER-5605-02;2574;109;737
COSER-2506-01;442;71;314
COSER-0614-01;902;422;760
COSER-3601-01;988;234;701
COSER-3814-01;1666;317;2197
COSER-3414-01;1713;246;760
COSER-1219-01;656;255;611
COSER-0214-01;1946;1133;3071
COSER-0425-01;1819;636;2774
